date,nikkei_index,bank_index,yuucho,MSCIworld
2022/12/30,26095,194,1128,14140
2022/9/30,25937,153,1009,12893
2022/3/31,27821,159,985,16356
2021/9/30,29453,150,960,15822
2021/3/31,29179,148,1064,14611
2020/9/30,23185,116,821,12173
2020/3/31,18917,110,997,9359
2019/9/30,21756,142,1047,10936
2019/3/31,21206,148,1209,10422
2018/9/30,24120,184,1343,10612
2018/3/31,21454,181,1428,9849
2017/9/30,20356,187,1390,9478
2017/3/31,18909,180,1381,8666
2016/9/30,16450,144,1195,7948
2016/3/31,16759,146,1385,7503
2015/11/30,19747,212,1740,7618
