date,nikkei_index,bank_index,yuucho,SBG
2022/12/30,26095,194,1128,5644
2022/11/30,27969,173,1051,5952
2022/10/31,27587,160,990,6400
2022/9/30,25937,153,1009,4900
2022/8/31,28092,160,1014,5562
2022/7/29,27802,161,1063,5605
2022/6/30,26393,159,1055,5235
2022/5/31,27280,154,985,5379
2022/4/28,26848,160,982,5269
2022/3/31,27821,159,985,5559
2022/2/28,26527,158,1014,5125
2022/1/31,27002,156,1127,5011
2021/12/30,28792,145,1055,5434
2021/11/30,27822,138,928,6030
2021/10/29,28893,143,889,6164
2021/9/30,29453,150,960,6480
2021/8/31,28090,142,963,6181
2021/7/30,27284,138,930,6837
2021/6/30,28792,141,933,7775
2021/5/31,28860,147,931,8256
2021/4/30,28813,141,999,9885
2021/3/31,29179,148,1064,9330
2021/2/26,28966,139,1014,9895
2021/1/29,27663,122,904,8108
2020/12/30,27444,119,847,8058
2020/11/30,26434,119,822,7272
2020/10/30,22977,112,831,6793
2020/9/30,23185,116,821,6469
2020/8/31,23140,121,853,6598
2020/7/31,21710,109,786,6595
2020/6/30,22288,116,802,5450
2020/5/29,21878,120,890,4832
2020/4/30,20194,114,999,4633
2020/3/31,18917,110,997,3788
2020/2/28,21143,131,964,5013
2020/1/31,23205,145,1016,4524
2019/12/30,23657,152,1050,4756
2019/11/29,23294,150,1060,4253
2019/10/31,22927,148,1082,4190
2019/9/30,21756,142,1047,4240
2019/8/30,20704,132,968,4824
2019/7/31,21522,139,1058,5628
2019/6/28,21276,139,1094,5165
2019/5/31,20601,138,1112,5125
2019/4/26,22259,149,1223,5777
2019/3/29,21206,148,1209,5372
2019/2/28,21385,154,1243,5140
2019/1/31,20773,156,1267,4263
2018/12/28,20015,147,1210,3652
2018/11/30,22351,169,1326,4763
2018/10/31,21920,175,1317,4524
2018/9/28,24120,184,1343,5735
2018/8/31,22865,177,1298,5150
2018/7/31,22554,182,1341,4630
2018/6/29,22305,172,1290,3986
2018/5/31,22202,179,1361,3882
2018/4/27,22468,190,1488,4250
2018/3/30,21454,181,1428,3975
2018/2/28,22068,192,1466,4447
2018/1/31,23098,203,1473,4490
2017/12/29,22765,204,1467,4460
2017/11/30,22725,195,1427,4742
2017/10/31,22012,196,1431,4973
2017/9/29,20356,187,1390,4542
2017/8/31,19646,176,1400,4461
2017/7/31,19925,183,1418,4479
2017/6/30,20033,191,1438,4548
2017/5/31,19651,176,1374,4501
2017/4/28,19197,182,1387,4221
2017/3/31,18909,180,1381,3931
2017/2/28,19119,191,1408,4181
2017/1/31,19041,190,1375,4350
2016/12/30,19114,190,1403,3882
2016/11/30,18308,179,1349,3356
2016/10/31,17425,156,1238,3301
2016/9/30,16450,144,1195,3261
2016/8/31,16887,156,1216,3378
2016/7/29,16569,145,1262,2851
2016/6/30,15576,129,1199,2894
2016/5/31,17235,154,1326,3114
2016/4/28,16666,146,1345,2994
2016/3/31,16759,146,1385,2683
2016/2/29,16027,140,1224,2787
2016/1/29,17518,175,1472,2632
2015/12/30,19034,207,1750,3069
2015/11/30,19747,212,1740,3268
2015/10/30,19083,216,,3398
2015/9/30,17388,201,,2738
2015/8/31,18890,217,,3531
2015/7/31,20585,240,,3440
2015/6/30,20236,235,,3604
2015/5/29,20563,243,,3723
2015/4/30,19520,225,,3752
2015/3/31,19207,203,,3490
2015/2/27,18798,211,,3683
2015/1/30,17674,181,,3481
2014/12/30,17451,189,,3605
2014/11/28,17460,193,,3981
2014/10/31,16414,184,,3969
2014/9/30,16174,181,,3844
2014/8/29,15425,174,,3753
2014/7/31,15621,178,,3786
2014/6/30,15162,178,,3771
2014/5/30,14632,167,,3672
2014/4/30,14304,163,,3795
2014/3/31,14828,170,,3900
2014/2/28,14841,172,,3834
2014/1/31,14915,180,,3781
2013/12/30,16291,197,,4600
2013/11/29,15662,187,,4145
2013/10/31,14328,178,,3650
2013/9/30,14456,180,,3395
2013/8/30,13389,167,,3095
2013/7/31,13668,172,,3120
2013/6/28,13677,175,,2895
2013/5/31,13775,166,,2585
2013/4/30,13861,188,,2412
2013/3/29,12398,164,,2170
2013/2/28,11559,153,,1717
2013/1/31,11139,148,,1630
2012/12/28,10395,131,,1570
2012/11/30,9446,114,,1545
2012/10/31,8928,108,,1263
2012/9/28,8870,108,,1580
2012/8/31,8840,106,,1595
2012/7/31,8695,108,,1502
2012/6/29,9007,111,,1476
2012/5/31,8543,99,,1225
2012/4/27,9521,112,,1198
2012/3/30,10084,121,,1223
2012/2/29,9723,121,,1210
2012/1/31,8803,106,,1061
2011/12/30,8455,100,,1133
2011/11/30,8435,99,,1273
2011/10/31,8988,104,,1294
2011/9/30,8700,107,,1146
2011/8/31,8955,105,,1263
2011/7/29,9833,112,,1505
2011/6/30,9816,114,,1515
2011/5/31,9694,110,,1572
2011/4/28,9850,113,,1695
2011/3/31,9755,116,,1660
2011/2/28,10624,135,,1677
2011/1/31,10238,126,,1411
2010/12/30,10229,127,,1405
2010/11/30,9937,115,,1450
2010/10/29,9202,110,,1295
2010/9/30,9369,114,,1365
2010/8/31,8824,117,,1205
2010/7/30,9537,124,,
